,ad_id,city_id,market,date_posted,date_expired,price_per_sqm,price,rooms_num,category_name,subcategory_name,per_of_time,month_year
0,62763753,26,secondary,2022-02-12,2022-03-14,57.0,2600.0,2,Rent,Apartments,30,2022-02
1,62888959,26,secondary,2022-03-17,2022-03-17,47.0,9000.0,5,Rent,Apartments,0,2022-03
3,62261719,1004,secondary,2021-09-09,2022-03-04,6743.0,499000.0,3,Sale,Apartments,176,2021-09
4,62878680,26,secondary,2022-03-15,2022-03-28,57.0,2500.0,2,Rent,Apartments,13,2022-03
6,62569893,26,secondary,2021-12-09,2022-02-15,31238.0,2499000.0,3,Sale,Apartments,68,2021-12
9,62697417,1004,secondary,2022-01-25,2022-03-26,71.0,2000.0,1,Rent,Apartments,60,2022-01
11,62666235,26,secondary,2022-01-16,2022-02-15,50.0,2250.0,2,Rent,Apartments,30,2022-01
12,62880749,26,secondary,2022-03-15,2022-03-29,42.0,3400.0,4,Rent,Apartments,14,2022-03
14,62718485,26,primary,2022-01-31,2022-02-28,8586.0,489400.0,3,Sale,Apartments,28,2022-01
16,62821308,1004,secondary,2022-02-27,2022-03-30,43.0,2000.0,2,Rent,Apartments,31,2022-02
17,62675076,26,secondary,2022-01-18,2022-02-17,52.0,2200.0,2,Rent,Apartments,30,2022-01
19,62714754,26,secondary,2022-01-30,2022-03-05,69.0,1600.0,1,Rent,Apartments,34,2022-01
20,61790505,1004,secondary,2021-04-28,2022-03-24,1531.0,49000.0,1,Rent,Apartments,330,2021-04
22,62856572,26,secondary,2022-03-09,2022-03-11,234.0,15000.0,2,Rent,Apartments,2,2022-03
23,62892981,1004,secondary,2022-03-18,2022-03-21,45.0,2500.0,2,Rent,Apartments,3,2022-03
24,62818252,26,secondary,2022-02-25,2022-03-05,12799.0,375000.0,1,Sale,Apartments,8,2022-02
27,61516460,26,secondary,2021-02-16,2022-03-25,48.0,2700.0,2,Rent,Apartments,402,2021-02
30,62594978,1004,secondary,2021-12-19,2022-02-24,14.0,650.0,2,Rent,Apartments,67,2021-12
31,62821889,26,secondary,2022-02-28,2022-02-28,10627.0,495000.0,2,Sale,Apartments,0,2022-02
32,62587996,1004,primary,2021-12-16,2022-03-16,9592.0,456567.0,2,Sale,Apartments,90,2021-12
33,61960498,26,secondary,2021-06-15,2022-02-01,11600.0,435000.0,2,Sale,Apartments,231,2021-06
34,62641855,26,secondary,2022-01-09,2022-02-08,84.0,2350.0,1,Rent,Apartments,30,2022-01
35,62215417,1004,primary,2021-08-26,2022-02-10,7784.0,413900.0,3,Sale,Apartments,168,2021-08
36,62513049,1004,secondary,2021-11-22,2022-02-20,7.0,299.0,2,Rent,Apartments,90,2021-11
37,62820291,26,secondary,2022-02-27,2022-03-29,12553.0,590000.0,2,Sale,Apartments,30,2022-02
38,62816221,26,secondary,2022-02-25,2022-03-15,52.0,2700.0,2,Rent,Apartments,18,2022-02
42,62496052,26,secondary,2021-11-16,2022-02-11,17257.0,1500000.0,3,Sale,Apartments,87,2021-11
43,62638785,1004,secondary,2022-01-08,2022-03-15,5718.0,589000.0,6,Sale,Apartments,66,2022-01
46,62730251,1004,secondary,2022-02-03,2022-02-15,49.0,2100.0,2,Rent,Apartments,12,2022-02
49,62647207,1004,secondary,2022-01-11,2022-03-12,6702.0,355000.0,3,Sale,Apartments,60,2022-01
50,62838049,26,secondary,2022-03-03,2022-03-09,58.0,3100.0,2,Rent,Apartments,6,2022-03
51,62801598,26,primary,2022-02-22,2022-03-24,12000.0,538200.0,2,Sale,Apartments,30,2022-02
56,62653656,26,primary,2022-01-12,2022-02-28,9156.0,1197919.0,4,Sale,Apartments,47,2022-01
62,62892039,1004,secondary,2022-03-18,2022-03-18,6057.0,450000.0,3,Sale,Apartments,0,2022-03
64,62611703,1004,secondary,2021-12-28,2022-03-01,7811.0,289000.0,2,Sale,Apartments,63,2021-12
69,62820858,26,secondary,2022-02-27,2022-03-29,67.0,2400.0,1,Rent,Apartments,30,2022-02
70,62577898,1004,secondary,2021-12-13,2022-03-30,7778.0,350000.0,2,Sale,Apartments,107,2021-12
71,62587870,1004,secondary,2021-12-16,2022-03-16,5962.0,310000.0,2,Sale,Apartments,90,2021-12
76,62611113,26,primary,2021-12-27,2022-02-09,12301.0,681000.0,3,Sale,Apartments,44,2021-12
81,62751688,26,primary,2022-02-09,2022-02-21,11404.0,593000.0,3,Sale,Apartments,12,2022-02
84,62566099,26,secondary,2021-12-08,2022-03-10,61.0,4100.0,2,Rent,Apartments,92,2021-12
86,62929807,26,secondary,2022-03-29,2022-03-31,52.0,2300.0,2,Rent,Apartments,2,2022-03
88,62794305,1004,secondary,2022-02-20,2022-03-10,5717.0,258000.0,2,Sale,Apartments,18,2022-02
89,62542571,26,secondary,2021-12-01,2022-02-16,14018.0,560000.0,2,Sale,Apartments,77,2021-12
